2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AdvancedEmojiDS.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AdvancedInstallers\cmiv2.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\advapi32.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\advapi32res.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\advpack.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\aeevts.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\aeinv.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\aemarebackup.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\aepic.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\agentactivationruntime.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\agentactivationruntimestarter.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\agentactivationruntimewindows.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AgentService.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AggregatorHost.exe |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\AIComponentMgmt.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\aidd.dll |  | DETECTED
2026-06-10 20:46:49 | 1 | 12 | Suspicious file pattern | C:\Windows\System32\aitstatic.exe |  | DETECTED
